ID,Q2,Q3,Q4_Positive,Q4_Negative,Q5
P1,Neurophysiology,Psychoactive substances,NA,NA,Influence from social practices and discourses
P2,Neurophysiology,Healthy habits,Well-being,Pleasure,Habit control and lifestyle
P3,Habits and behavior,Instant or easy rewards,Motivation and reward,NA,Self-knowledge and embodiment
P3,Habits and behavior,Behavioral or environmental stimuli,Pleasure,NA,Self-knowledge and embodiment
P4,Positive emotions,Physical exercise,Well-being,Disease,Self-knowledge and embodiment
P5,NA,NA,NA,NA,NA
P6,NA,Physical exercise,NA,NA,NA
P7,Negative emotions,Behavioral or environmental stimuli,Pleasure,Distress,Self-knowledge and embodiment
P7,Negative emotions,Instant or easy rewards,Pleasure,Distress,Self-knowledge and embodiment
P8,Positive emotions,Healthy habits,Pleasure,NA,Habit control and lifestyle
P8,Positive emotions,Healthy habits,Motivation and reward,NA,Habit control and lifestyle
P9,NA,NA,Well-being,Addiction,Influence from social practices and discourses
P10,Neurophysiology,Nutrition,Well-being,Disease,Self-knowledge and embodiment
P10,Neurophysiology,Behavioral or environmental stimuli,Well-being,Disease,Self-knowledge and embodiment
P11,Positive emotions,Behavioral or environmental stimuli,Well-being,Addiction,Habit control and lifestyle
P12,NA,Behavioral or environmental stimuli,Well-being,Addiction,Addiction prevention
P13,Health/disease,Healthy habits,Well-being,Distress,Self-knowledge and embodiment
P14,Health/disease,Behavioral or environmental stimuli,Well-being,Distress,Benefits to health
P15,Positive emotions,Physical exercise,Well-being,Distress,Self-knowledge and embodiment
P15,Positive emotions,Physical exercise,Pleasure,Distress,Self-knowledge and embodiment
P16,Addiction,NA,Pharmaceutical target,Distress,Benefits to health
P17,Health/disease,Neutral or undecided,Motivation and reward,Distress,Self-knowledge and embodiment
P18,Negative emotions,Nutrition,Motivation and reward,Obsession,Self-knowledge and embodiment
P18,Negative emotions,Behavioral or environmental stimuli,Self-efficacy,Obsession,Self-knowledge and embodiment
P19,Neurophysiology,Physical exercise,NA,NA,Self-knowledge and embodiment
P20,Health/disease,Nutrition,Pleasure,Addiction,Habit control and lifestyle
